Date,Close,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 2: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 3: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 4: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 5: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 6: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 7: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 8: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 10: Crossover (Price & EMA 50) + SMA Crossover (8 & 12),News Sentiment Score,Social Sentiment Score
12/7/2022,15.06,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6662839066666667,0.0267437249999999
13/7/2022,15.14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2459595615748,0.9932858933333334
14/7/2022,15.35,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6231583828571429,0.16746851
15/7/2022,15.74,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Buy,0.6128481824677212,0.853956153075375
18/7/2022,16.08,Hold,Buy,Hold,Hold,Buy,Hold,Buy,Hold,Buy,Hold,0.967235265,0.6725497896876464
19/7/2022,16.97,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Buy,Hold,Hold,0.97067255,0.7878594618857081
20/7/2022,17.78,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1099066987563079,0.6887064044444444
21/7/2022,18.02,Hold,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.9194701933333334,0.8884454794444445
22/7/2022,17.29,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,-0.2349229787499999,0.6684611833881
25/7/2022,17.0,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5320949,0.9322704066666666
26/7/2022,16.51,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,0.9989131933333332,0.7692927828571429
27/7/2022,17.76,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2291447728,0.7845834009090908
28/7/2022,17.96,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,0.9998423,0.916485898
29/7/2022,18.14,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9995514333333334,0.4310866288698693
1/8/2022,18.41,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.011794997,0.8955953067
2/8/2022,18.5,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.99981445,0.8509668341702389
3/8/2022,18.87,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.50428045673067,0.8927846105313159
4/8/2022,19.19,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2154768895815969,0.911132045967742
5/8/2022,18.96,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9998896,0.9792196
8/8/2022,17.77,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0511881054166666,0.5265574144908285
9/8/2022,17.06,Sell,Hold,Hold,Hold,Sell,Sell,Hold,Hold,Sell,Hold,-0.1211434544444444,0.3002430800678246
10/8/2022,18.07,Sell,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,Sell,0.291903814020775,-0.0701397425132346
11/8/2022,17.92,Buy,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Buy,Buy,0.27169002317385,0.0521229149999999
12/8/2022,18.68,Sell,Hold,Hold,Hold,Sell,Sell,Hold,Hold,Sell,Hold,-0.48281564285,0.4101287464047619
15/8/2022,19.0,Buy,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,0.729573206,0.743268885
16/8/2022,18.85,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Sell,0.925496,0.6694515253333333
17/8/2022,18.31,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.2585100188125,0.3271948385204888
18/8/2022,18.75,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0001964584235,0.7574050254545455
